Date,Country,AreaCode,Area,TotalCases,Population
31/03/2020,Wales,W11000031,Swansea,255,246993
31/03/2020,England,E06000026,Plymouth,58,262100
31/03/2020,Wales,W11000028,Newport,834,154676
31/03/2020,London,,London,10108,8961989
01/04/2020,England,E08000025,Birmingham,1173,1141816
01/04/2020,England,E06000023,Bristol,168,463377
01/04/2020,England,E08000026,Coventry,234,371521
01/04/2020,England,E08000035,Leeds,269,793139
01/04/2020,England,E06000016,Leicester,167,354224
01/04/2020,England,E08000012,Liverpool,395,498042
01/04/2020,England,E06000032,Luton,168,213052
01/04/2020,England,E08000003,Manchester,257,552858
01/04/2020,England,E06000038,Reading,96,161780
01/04/2020,England,E08000019,Sheffield,829,584853
01/04/2020,England,E06000033,Southend-on-Sea,103,183125
01/04/2020,Northern Ireland,N09000003,Belfast,200,340220
01/04/2020,Scotland,S08000031,Glasgow,632,633120
01/04/2020,Scotland,S08000024,Edinburgh,311,524930
01/04/2020,Wales,W11000029,Cardiff,630,366903
01/04/2020,Wales,W11000031,Swansea,288,246993
01/04/2020,England,E06000026,Plymouth,66,262100
01/04/2020,Wales,W11000028,Newport,918,154676
01/04/2020,London,,London,11071,8961989
02/04/2020,England,E08000025,Birmingham,1275,1141816
02/04/2020,England,E06000023,Bristol,183,463377
02/04/2020,England,E08000026,Coventry,254,371521
02/04/2020,England,E08000035,Leeds,299,793139
02/04/2020,England,E06000016,Leicester,191,354224
02/04/2020,England,E08000012,Liverpool,451,498042
02/04/2020,England,E06000032,Luton,191,213052
02/04/2020,England,E08000003,Manchester,291,552858
02/04/2020,England,E06000038,Reading,106,161780
02/04/2020,England,E08000019,Sheffield,882,584853
02/04/2020,England,E06000033,Southend-on-Sea,117,183125
02/04/2020,Northern Ireland,N09000003,Belfast,226,340220
02/04/2020,Scotland,S08000031,Glasgow,682,633120
02/04/2020,Scotland,S08000024,Edinburgh,356,524930
02/04/2020,Wales,W11000029,Cardiff,733,366903
02/04/2020,Wales,W11000031,Swansea,328,246993
02/04/2020,England,E06000026,Plymouth,78,262100
